,config,time,commit_num
315,sudo lrzip -b -L 9 -w 1 -N 4 -p 4,22.83,0
316,sudo lrzip -b -L 9 -w 1 -N 12 -p 1,27.08,0
317,sudo lrzip -b -L 9 -w 1 -N 12 -p 2,23.51,0
318,sudo lrzip -b -L 9 -w 1 -N 12 -p 3,23.54,0
319,sudo lrzip -b -L 9 -w 1 -N 12 -p 4,22.83,0
320,sudo lrzip -b -L 9 -w 21 -N -20 -p 1,34.38,0
321,sudo lrzip -b -L 9 -w 21 -N -20 -p 2,22.77,0
322,sudo lrzip -b -L 9 -w 21 -N -20 -p 3,20.73,0
323,sudo lrzip -b -L 9 -w 21 -N -20 -p 4,18.31,0
324,sudo lrzip -b -L 9 -w 21 -N -12 -p 1,34.3,0
325,sudo lrzip -b -L 9 -w 21 -N -12 -p 2,21.56,0
326,sudo lrzip -b -L 9 -w 21 -N -12 -p 3,19.92,0
327,sudo lrzip -b -L 9 -w 21 -N -12 -p 4,18.27,0
328,sudo lrzip -b -L 9 -w 21 -N -4 -p 1,34.42,0
329,sudo lrzip -b -L 9 -w 21 -N -4 -p 2,20.92,0
330,sudo lrzip -b -L 9 -w 21 -N -4 -p 3,20.84,0
331,sudo lrzip -b -L 9 -w 21 -N -4 -p 4,18.79,0
332,sudo lrzip -b -L 9 -w 21 -N 4 -p 1,34.33,0
333,sudo lrzip -b -L 9 -w 21 -N 4 -p 2,22.07,0
334,sudo lrzip -b -L 9 -w 21 -N 4 -p 3,19.35,0
335,sudo lrzip -b -L 9 -w 21 -N 4 -p 4,17.72,0
336,sudo lrzip -b -L 9 -w 21 -N 12 -p 1,34.31,0
337,sudo lrzip -b -L 9 -w 21 -N 12 -p 2,20.83,0
338,sudo lrzip -b -L 9 -w 21 -N 12 -p 3,19.59,0
339,sudo lrzip -b -L 9 -w 21 -N 12 -p 4,17.91,0
340,sudo lrzip -b -L 9 -w 41 -N -20 -p 1,34.41,0
341,sudo lrzip -b -L 9 -w 41 -N -20 -p 2,20.86,0
342,sudo lrzip -b -L 9 -w 41 -N -20 -p 3,19.96,0
343,sudo lrzip -b -L 9 -w 41 -N -20 -p 4,18.06,0
344,sudo lrzip -b -L 9 -w 41 -N -12 -p 1,34.39,0
345,sudo lrzip -b -L 9 -w 41 -N -12 -p 2,21.82,0
346,sudo lrzip -b -L 9 -w 41 -N -12 -p 3,19.9,0
347,sudo lrzip -b -L 9 -w 41 -N -12 -p 4,18.63,0
348,sudo lrzip -b -L 9 -w 41 -N -4 -p 1,34.31,0
349,sudo lrzip -b -L 9 -w 41 -N -4 -p 2,20.91,0
350,sudo lrzip -b -L 9 -w 41 -N -4 -p 3,19.89,0
351,sudo lrzip -b -L 9 -w 41 -N -4 -p 4,18.76,0
352,sudo lrzip -b -L 9 -w 41 -N 4 -p 1,34.32,0
353,sudo lrzip -b -L 9 -w 41 -N 4 -p 2,22.66,0
354,sudo lrzip -b -L 9 -w 41 -N 4 -p 3,19.74,0
355,sudo lrzip -b -L 9 -w 41 -N 4 -p 4,17.86,0
356,sudo lrzip -b -L 9 -w 41 -N 12 -p 1,34.41,0
357,sudo lrzip -b -L 9 -w 41 -N 12 -p 2,21.93,0
358,sudo lrzip -b -L 9 -w 41 -N 12 -p 3,19.17,0
359,sudo lrzip -b -L 9 -w 41 -N 12 -p 4,17.62,0
360,sudo lrzip -b -L 9 -w 61 -N -20 -p 1,34.3,0
361,sudo lrzip -b -L 9 -w 61 -N -20 -p 2,22.8,0
362,sudo lrzip -b -L 9 -w 61 -N -20 -p 3,19.95,0
363,sudo lrzip -b -L 9 -w 61 -N -20 -p 4,18.41,0
364,sudo lrzip -b -L 9 -w 61 -N -12 -p 1,34.35,0
365,sudo lrzip -b -L 9 -w 61 -N -12 -p 2,21.17,0
366,sudo lrzip -b -L 9 -w 61 -N -12 -p 3,19.83,0
367,sudo lrzip -b -L 9 -w 61 -N -12 -p 4,18.18,0
368,sudo lrzip -b -L 9 -w 61 -N -4 -p 1,34.4,0
369,sudo lrzip -b -L 9 -w 61 -N -4 -p 2,20.97,0
370,sudo lrzip -b -L 9 -w 61 -N -4 -p 3,19.89,0
371,sudo lrzip -b -L 9 -w 61 -N -4 -p 4,18.56,0
372,sudo lrzip -b -L 9 -w 61 -N 4 -p 1,34.29,0
373,sudo lrzip -b -L 9 -w 61 -N 4 -p 2,21.1,0
374,sudo lrzip -b -L 9 -w 61 -N 4 -p 3,19.53,0
375,sudo lrzip -b -L 9 -w 61 -N 4 -p 4,18.13,0
